customer_id,application_id,application_date,loan_type,loan_amount_requested,loan_tenure_months,interest_rate_offered,purpose_of_loan,employment_status,monthly_income,cibil_score,existing_emis_monthly,debt_to_income_ratio,property_ownership_status,applicant_age,gender,number_of_dependents,residential_address,loan_status,fraud_type,avg_spend,total_spend,txn_count,past_fraud_count,high_risk_flag
CUST00001,APP000001,2022-01-01,Car Loan,352242,24,11.6,Medical,Student,43037,719,1233,0.3286,Rented,37,Other,0,City_19,Declined,0,3078.4425,49255.08,16,0,0
CUST00002,APP000002,2022-01-01,Education Loan,342498,120,14.08,Travel,Student,52362,668,0,0.3,Rented,44,Other,2,City_17,Approved,0,1452.6514285714286,10168.56,7,0,0
CUST00003,APP000003,2022-01-01,Education Loan,159522,48,11.08,Education,Unemployed,45065,731,3139,0.3697,Mortgaged,21,Male,4,City_2,Approved,0,3371.3328571428574,23599.33,7,0,0
CUST00004,APP000004,2022-01-01,Home Loan,386937,180,8.86,Home Purchase,Unemployed,62760,801,10025,0.4597,Mortgaged,39,Female,2,City_29,Approved,0,3341.687777777778,30075.190000000002,9,0,0
CUST00005,APP000005,2022-01-01,Business Loan,76487,120,14.12,Other,Student,89929,661,5562,0.3618,Owned,34,Male,0,City_25,Approved,0,3033.9085714285716,63712.08,21,0,0
CUST00006,APP000006,2022-01-01,Education Loan,201872,180,7.68,Education,Student,40723,661,3134,0.377,Mortgaged,38,Male,3,City_48,Approved,0,3124.7942857142857,21873.56,7,0,0
CUST00007,APP000007,2022-01-01,Car Loan,50000,48,12.0,Debt Consolidation,Self-Employed,85020,806,9062,0.4066,Rented,26,Other,2,City_35,Approved,0,3993.506,39935.06,10,0,0
CUST00008,APP000008,2022-01-01,Car Loan,533793,24,9.34,Education,Student,40458,741,7213,0.4783,Mortgaged,36,Other,1,City_37,Declined,0,3008.813157894737,57167.45,19,0,0
CUST00009,APP000009,2022-01-01,Home Loan,265267,120,12.8,Medical,Retired,38809,642,1892,0.3488,Owned,39,Female,0,City_45,Declined,0,2993.1571999999996,74828.93,25,0,0
CUST00010,APP000010,2022-01-01,Personal Loan,625032,240,9.82,Travel,Student,80464,723,4240,0.3527,Mortgaged,34,Male,2,City_20,Approved,0,2455.6615789473685,46657.57,19,0,0
CUST00011,APP000011,2022-01-01,Personal Loan,420442,84,10.5,Business,Student,83048,642,903,0.3109,Rented,43,Male,4,City_15,Declined,0,2644.8463636363635,29093.31,11,0,0
CUST00012,APP000012,2022-01-01,Business Loan,367214,120,12.89,Business,Unemployed,81285,642,5573,0.3686,Owned,38,Other,2,City_48,Declined,0,3616.2483333333334,65092.47,18,0,0
CUST00013,APP000013,2022-01-01,Home Loan,212065,84,13.78,Business,Student,27105,699,7545,0.5784,Mortgaged,44,Female,4,City_10,Declined,0,2540.1573684210525,48262.99,19,0,0
CUST00014,APP000014,2022-01-01,Education Loan,143047,24,8.78,Home Purchase,Unemployed,48351,526,0,0.3,Owned,47,Female,1,City_32,Declined,0,4109.758333333333,24658.55,6,0,0
CUST00015,APP000015,2022-01-01,Business Loan,378445,240,9.57,Home Purchase,Retired,80574,542,919,0.3114,Rented,48,Other,3,City_8,Declined,0,3210.3375,51365.4,16,0,0
CUST00016,APP000016,2022-01-01,Education Loan,289272,60,7.53,Medical,Retired,61038,635,11714,0.4919,Mortgaged,34,Male,4,City_33,Declined,0,2877.663636363636,63308.6,22,0,0
CUST00017,APP000017,2022-01-01,Home Loan,99109,36,13.5,Debt Consolidation,Salaried,33157,598,3657,0.4103,Owned,34,Other,2,City_1,Declined,0,2813.3714814814816,75961.03,27,0,0
CUST00018,APP000018,2022-01-01,Business Loan,72471,48,14.13,Education,Salaried,71457,705,11634,0.4628,Owned,54,Female,1,City_48,Fraudulent - Detected,0,2874.054285714286,40236.76,14,5,1
CUST00019,APP000019,2022-01-01,Business Loan,156194,48,9.46,Other,Self-Employed,42129,607,0,0.3,Owned,28,Other,0,City_26,Declined,0,2804.1209090909088,61690.659999999996,22,0,0
CUST00020,APP000020,2022-01-01,Education Loan,573145,240,10.19,Education,Unemployed,104863,567,2872,0.3274,Mortgaged,33,Female,2,City_42,Declined,0,3426.4108333333334,82233.86,24,0,0
CUST00021,APP000021,2022-01-01,Personal Loan,631991,60,10.5,Medical,Salaried,98621,797,5870,0.3595,Rented,36,Other,0,City_48,Fraudulent - Undetected,Identity Theft,3407.575,34075.75,10,4,1
CUST00022,APP000022,2022-01-01,Personal Loan,330748,24,10.37,Business,Retired,75102,661,3725,0.3496,Mortgaged,29,Female,4,City_5,Approved,0,3653.0735,73061.47,20,0,0
CUST00023,APP000023,2022-01-01,Education Loan,322341,84,10.25,Home Purchase,Retired,94025,685,10061,0.407,Mortgaged,39,Female,1,City_2,Approved,0,3120.6030769230774,81135.68000000001,26,0,0
CUST00024,APP000024,2022-01-01,Car Loan,249551,120,10.83,Home Purchase,Unemployed,61619,566,4526,0.3735,Mortgaged,50,Male,3,City_18,Fraudulent - Undetected,0,3487.817142857143,24414.72,7,2,1
CUST00025,APP000025,2022-01-02,Car Loan,159827,180,8.58,Medical,Salaried,79135,636,7848,0.3992,Owned,21,Male,2,City_33,Declined,0,3543.281,35432.81,10,0,0
CUST00026,APP000026,2022-01-02,Business Loan,506276,60,7.9,Other,Retired,96943,688,631,0.3065,Rented,32,Other,1,City_10,Approved,0,2649.132727272727,29140.46,11,0,0
CUST00027,APP000027,2022-01-02,Education Loan,581036,180,12.56,Education,Student,66137,587,6057,0.3916,Rented,39,Male,1,City_6,Declined,0,2717.042222222222,24453.379999999997,9,0,0
CUST00028,APP000028,2022-01-02,Personal Loan,165987,180,13.43,Education,Unemployed,53620,710,3744,0.3698,Rented,53,Female,3,City_49,Approved,0,2585.824705882353,43959.020000000004,17,0,0
CUST00029,APP000029,2022-01-02,Home Loan,287574,48,13.17,Other,Self-Employed,17384,631,994,0.3572,Rented,23,Other,4,City_39,Declined,0,3206.3775,51302.04,16,0,0
CUST00030,APP000030,2022-01-02,Car Loan,232520,120,11.89,Medical,Retired,57921,656,6866,0.4185,Mortgaged,46,Other,3,City_39,Approved,0,2976.1657142857143,20833.16,7,0,0
CUST00031,APP000031,2022-01-02,Home Loan,236964,240,14.28,Travel,Unemployed,80585,631,10448,0.4297,Owned,36,Male,3,City_13,Declined,0,2602.2400000000002,20817.920000000002,8,0,0
CUST00032,APP000032,2022-01-02,Personal Loan,477886,360,7.51,Travel,Unemployed,83640,828,2618,0.3313,Mortgaged,39,Other,3,City_41,Approved,0,2920.127,29201.27,10,0,0
CUST00033,APP000033,2022-01-02,Education Loan,103205,48,9.74,Home Purchase,Student,72609,678,6691,0.3922,Rented,50,Male,0,City_43,Approved,0,2634.0546666666664,39510.82,15,0,0
CUST00034,APP000034,2022-01-02,Car Loan,369970,240,9.67,Medical,Retired,46467,595,4139,0.3891,Owned,36,Male,2,City_12,Declined,0,3184.3291999999997,79608.23,25,0,0
CUST00035,APP000035,2022-01-02,Business Loan,409235,48,9.95,Debt Consolidation,Self-Employed,10579,745,5428,0.8131,Owned,37,Female,3,City_25,Declined,0,2844.88,73966.88,26,0,0
CUST00036,APP000036,2022-01-02,Home Loan,278677,12,13.1,Home Purchase,Self-Employed,47619,582,8359,0.4755,Rented,39,Other,2,City_2,Declined,0,4467.761428571428,31274.329999999998,7,0,0
CUST00037,APP000037,2022-01-02,Car Loan,433960,48,9.96,Education,Unemployed,52391,696,10767,0.5055,Owned,40,Male,3,City_3,Approved,0,3221.5515384615383,83760.34,26,0,0
CUST00038,APP000038,2022-01-02,Personal Loan,322147,24,11.19,Home Purchase,Salaried,52176,523,9967,0.491,Mortgaged,27,Female,4,City_49,Declined,0,3116.6911111111112,28050.22,9,0,0
CUST00039,APP000039,2022-01-02,Car Loan,482569,84,11.8,Other,Retired,75463,573,2001,0.3265,Mortgaged,39,Male,4,City_5,Declined,0,2941.7641666666664,35301.17,12,0,0
CUST00040,APP000040,2022-01-02,Car Loan,71669,180,13.42,Home Purchase,Self-Employed,109641,695,0,0.3,Mortgaged,42,Other,3,City_43,Approved,0,3232.7,16163.5,5,0,0
