customer_id,application_id,application_date,loan_type,loan_amount_requested,loan_tenure_months,interest_rate_offered,purpose_of_loan,employment_status,monthly_income,cibil_score,existing_emis_monthly,debt_to_income_ratio,property_ownership_status,applicant_age,gender,number_of_dependents,residential_address,loan_status,fraud_type
CUST00001,APP000001,2022-01-01,Car Loan,352242,24,11.6,Medical,Student,43037,719,1233,0.3286,Rented,37,Other,0,City_19,Declined,None
CUST00002,APP000002,2022-01-01,Education Loan,342498,120,14.08,Travel,Student,52362,668,0,0.3,Rented,44,Other,2,City_17,Approved,None
CUST00003,APP000003,2022-01-01,Education Loan,159522,48,11.08,Education,Unemployed,45065,731,3139,0.3697,Mortgaged,21,Male,4,City_2,Approved,None
CUST00004,APP000004,2022-01-01,Home Loan,386937,180,8.86,Home Purchase,Unemployed,62760,801,10025,0.4597,Mortgaged,39,Female,2,City_29,Approved,None
CUST00005,APP000005,2022-01-01,Business Loan,76487,120,14.12,Other,Student,89929,661,5562,0.3618,Owned,34,Male,0,City_25,Approved,None
CUST00006,APP000006,2022-01-01,Education Loan,201872,180,7.68,Education,Student,40723,661,3134,0.377,Mortgaged,38,Male,3,City_48,Approved,None
CUST00007,APP000007,2022-01-01,Car Loan,50000,48,12.0,Debt Consolidation,Self-Employed,85020,806,9062,0.4066,Rented,26,Other,2,City_35,Approved,None
CUST00008,APP000008,2022-01-01,Car Loan,533793,24,9.34,Education,Student,40458,741,7213,0.4783,Mortgaged,36,Other,1,City_37,Declined,None
CUST00009,APP000009,2022-01-01,Home Loan,265267,120,12.8,Medical,Retired,38809,642,1892,0.3488,Owned,39,Female,0,City_45,Declined,None
CUST00010,APP000010,2022-01-01,Personal Loan,625032,240,9.82,Travel,Student,80464,723,4240,0.3527,Mortgaged,34,Male,2,City_20,Approved,None
CUST00011,APP000011,2022-01-01,Personal Loan,420442,84,10.5,Business,Student,83048,642,903,0.3109,Rented,43,Male,4,City_15,Declined,None
CUST00012,APP000012,2022-01-01,Business Loan,367214,120,12.89,Business,Unemployed,81285,642,5573,0.3686,Owned,38,Other,2,City_48,Declined,None
